Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,apply_watch,32,0,1100.0,1158.235516250001,1061.8423600000142,1703.2068850000144,38.0,0.1050950238631562,0.0,1100,1100,1200,1200,1300,1500,1700,1700,1700,1700,1700
POST,check_scan_status,32,0,1100.0,1139.1237191562461,1019.8603509999771,1847.4882560000055,587.875,0.1050950238631562,0.0,1100,1100,1100,1200,1200,1600,1800,1800,1800,1800,1800
POST,create_policy,33,0,1100.0,1141.8127031515169,1051.8533139999988,1620.710200000005,38.0,0.10837924335887981,0.0,1100,1100,1100,1100,1300,1600,1600,1600,1600,1600,1600
PUT,create_repo,33,0,1100.0,1141.7430955151517,373.5945850000029,1744.8063900000009,165.0,0.10837924335887981,0.0,1100,1200,1200,1300,1300,1500,1700,1700,1700,1700,1700
POST,create_watch,33,0,1600.0,1605.9609607272764,1455.503952000015,1996.2374689999933,46.0,0.10837924335887981,0.0,1600,1600,1700,1700,1900,2000,2000,2000,2000,2000,2000
DOCKER,docker login,33,0,2100.0,2136.5264612121214,1177.1338,3677.37889,16.0,0.10837924335887981,0.0,2100,2900,3000,3100,3200,3600,3700,3700,3700,3700,3700
DOCKER,docker pull,33,0,2700.0,2974.2465242424246,2521.28911,3927.39201,185.0,0.10837924335887981,0.0,2700,2900,3300,3400,3800,3900,3900,3900,3900,3900,3900
DOCKER,docker push,31,0,2900.0,4547.6685793548395,1980.32498,23860.60381,266.64516129032256,0.10181080436743256,0.0,2900,4900,5100,5200,5500,16000,24000,24000,24000,24000,24000
DOCKER,docker tag,33,0,49,50.99483727272728,44.92378,69.11016,0.0,0.10837924335887981,0.0,49,51,53,54,60,65,69,69,69,69,69
GET,verify_repo,33,0,1000.0,1024.9026320000012,282.05603099999973,1295.3350109999917,332.0,0.10837924335887981,0.0,1000,1100,1100,1100,1100,1300,1300,1300,1300,1300,1300
POST,verify_violations,32,0,1100.0,1161.9163345624972,1042.8806310000027,1757.1640019999961,38.0,0.1050950238631562,0.0,1100,1100,1200,1200,1300,1500,1800,1800,1800,1800,1800
,Aggregated,358,0,1100.0,1631.8120733659218,44.92378,23860.60381,154.51396648044692,1.17575057946906,0.0,1100,1500,1700,2200,3000,3700,5100,5500,24000,24000,24000
